frame,value
0,0.999608
1,0.999580
2,0.999576
3,0.999586
4,0.999586
5,0.999588
6,0.997313
7,0.991556
8,0.984222
9,0.981033
10,0.978310
11,0.977532
12,0.977188
13,0.977132
14,0.976033
15,0.976289
16,0.975495
17,0.975818
18,0.976078
19,0.976406
20,0.976676
21,0.977063
22,0.977306
23,0.977522
24,0.978625
25,0.978972
26,0.979299
27,0.979449
28,0.979447
29,0.978426
30,0.978515
31,0.978655
32,0.978818
33,0.978943
34,0.979012
35,0.979130
36,0.979152
37,0.979177
38,0.980414
39,0.980437
40,0.980545
41,0.980613
42,0.980686
43,0.980733
44,0.979582
45,0.979583
46,0.979574
47,0.979647
48,0.979645
49,0.979596
50,0.979801
51,0.979713
52,0.981200
53,0.981248
54,0.981308
55,0.981372
56,0.981394
57,0.981443
58,0.980024
59,0.980026
60,0.979969
61,0.979976
62,0.979973
63,0.979961
64,0.979951
65,0.981440
66,0.981483
67,0.981544
68,0.981626
69,0.981646
70,0.981710
71,0.981664
72,0.980207
73,0.980120
74,0.980083
75,0.980211
76,0.980142
77,0.980150
78,0.980192
79,0.980205
80,0.981663
81,0.981777
82,0.981841
83,0.981852
84,0.981806
85,0.980393
86,0.980347
87,0.980437
88,0.980363
89,0.980378
90,0.980398
91,0.980358
92,0.980383
93,0.980383
94,0.981913
95,0.981911
96,0.981989
97,0.982048
98,0.981966
99,0.982028
100,0.980497
101,0.980494
102,0.980472
103,0.980530
104,0.980474
105,0.980449
106,0.980576
107,0.982005
108,0.982000
109,0.982043
110,0.982078
111,0.982202
112,0.982129
113,0.982097
114,0.980600
115,0.980645
116,0.980470
117,0.980538
118,0.980494
119,0.980639
120,0.980595
121,0.980675
122,0.981959
123,0.982007
124,0.981955
average,0.981326
