frame,value
0,0.986116
1,0.984724
2,0.984703
3,0.984644
4,0.984889
5,0.984744
6,0.982880
7,0.899641
8,0.865615
9,0.863103
10,0.855655
11,0.840018
12,0.801828
13,0.729516
14,0.586097
15,0.518662
16,0.439608
17,0.421190
18,0.404513
19,0.397006
20,0.391370
21,0.389036
22,0.389297
23,0.390398
24,0.408177
25,0.409918
26,0.415631
27,0.418448
28,0.427129
29,0.409897
30,0.414156
31,0.418015
32,0.425362
33,0.425544
34,0.431993
35,0.438239
36,0.445547
37,0.454943
38,0.491194
39,0.498476
40,0.505690
41,0.511677
42,0.514100
43,0.520548
44,0.475995
45,0.477485
46,0.477476
47,0.478334
48,0.480060
49,0.479503
50,0.481381
51,0.481357
52,0.523790
53,0.521833
54,0.532229
55,0.535699
56,0.534728
57,0.535832
58,0.488312
59,0.491879
60,0.495698
61,0.490034
62,0.486665
63,0.488181
64,0.492510
65,0.548070
66,0.544953
67,0.549603
68,0.552839
69,0.552570
70,0.559704
71,0.561117
72,0.505277
73,0.506274
74,0.504662
75,0.502579
76,0.504424
77,0.502844
78,0.503633
79,0.500822
80,0.561648
81,0.556837
82,0.567541
83,0.566923
84,0.571654
85,0.514453
86,0.516547
87,0.511675
88,0.515647
89,0.509166
90,0.509265
91,0.510022
92,0.507531
93,0.514192
94,0.571335
95,0.571158
96,0.575326
97,0.579441
98,0.575581
99,0.577715
100,0.516074
101,0.514661
102,0.519754
103,0.514469
104,0.515869
105,0.511676
106,0.515266
107,0.574244
108,0.567665
109,0.571252
110,0.578046
111,0.581565
112,0.579776
113,0.578796
114,0.524457
115,0.517621
116,0.520146
117,0.514598
118,0.514201
119,0.514136
120,0.514642
121,0.514583
122,0.567852
123,0.565351
124,0.561716
average,0.550083
