frame,value
0,58.788681
1,57.955261
2,57.957439
3,57.947784
4,57.992290
5,57.934803
6,46.791248
7,41.742180
8,40.843914
9,40.781097
10,40.767529
11,40.677952
12,40.573322
13,40.542362
14,40.524418
15,40.545994
16,40.587524
17,40.703209
18,40.728107
19,40.803886
20,40.924313
21,41.031353
22,41.214653
23,41.408649
24,41.656464
25,41.874004
26,42.039879
27,42.199383
28,42.305565
29,42.387333
30,42.488747
31,42.568817
32,42.668568
33,42.747227
34,42.806694
35,42.887310
36,42.967052
37,43.052879
38,43.121986
39,43.170639
40,43.236767
41,43.260464
42,43.269722
43,43.288036
44,43.328712
45,43.326138
46,43.331589
47,43.357891
48,43.381710
49,43.387867
50,43.432941
51,43.458755
52,43.469303
53,43.462238
54,43.493675
55,43.479935
56,43.517738
57,43.516888
58,43.507568
59,43.510059
60,43.534027
61,43.504093
62,43.527622
63,43.507473
64,43.522789
65,43.551746
66,43.550041
67,43.555500
68,43.554077
69,43.564945
70,43.548580
71,43.580967
72,43.563084
73,43.554211
74,43.567242
75,43.565773
76,43.589062
77,43.583710
78,43.567490
79,43.562168
80,43.586540
81,43.590553
82,43.618446
83,43.615417
84,43.595169
85,43.610622
86,43.611076
87,43.610676
88,43.593624
89,43.584492
90,43.610641
91,43.614468
92,43.591396
93,43.603096
94,43.613194
95,43.601357
96,43.611752
97,43.631233
98,43.626934
99,43.631958
100,43.632683
101,43.624077
102,43.604782
103,43.625439
104,43.630405
105,43.629398
106,43.625935
107,43.632290
108,43.636208
109,43.641064
110,43.638283
111,43.662804
112,43.626862
113,43.657211
114,43.631336
115,43.660450
116,43.630402
117,43.667801
118,43.624477
119,43.632915
120,43.627365
121,43.623188
122,43.644329
123,43.634705
124,43.609829
average,43.782326
