frame,value
0,0.999950
1,0.999941
2,0.999945
3,0.999945
4,0.999947
5,0.999946
6,0.999946
7,0.999943
8,0.999943
9,0.999943
10,0.999941
11,0.999941
12,0.999941
13,0.999938
14,0.999930
15,0.999930
16,0.999923
17,0.999920
18,0.999914
19,0.999905
20,0.999890
21,0.999857
22,0.999832
23,0.999797
24,0.999769
25,0.999735
26,0.999714
27,0.999691
28,0.999657
29,0.999629
30,0.999617
31,0.999606
32,0.999595
33,0.999592
34,0.999584
35,0.999571
36,0.999560
37,0.999556
38,0.999560
39,0.999557
40,0.999554
41,0.999549
42,0.999542
43,0.999536
44,0.999520
45,0.999517
46,0.999514
47,0.999511
48,0.999512
49,0.999510
50,0.999507
51,0.999504
52,0.999510
53,0.999502
54,0.999503
55,0.999497
56,0.999495
57,0.999490
58,0.999468
59,0.999472
60,0.999474
61,0.999473
62,0.999462
63,0.999467
64,0.999468
65,0.999487
66,0.999481
67,0.999484
68,0.999482
69,0.999480
70,0.999478
71,0.999476
72,0.999459
73,0.999468
74,0.999463
75,0.999464
76,0.999465
77,0.999463
78,0.999470
79,0.999464
80,0.999480
81,0.999476
82,0.999481
83,0.999477
84,0.999473
85,0.999457
86,0.999459
87,0.999463
88,0.999465
89,0.999457
90,0.999459
91,0.999464
92,0.999464
93,0.999459
94,0.999479
95,0.999480
96,0.999480
97,0.999476
98,0.999471
99,0.999480
100,0.999460
101,0.999455
102,0.999457
103,0.999460
104,0.999464
105,0.999462
106,0.999463
107,0.999480
108,0.999473
109,0.999478
110,0.999483
111,0.999482
112,0.999479
113,0.999480
114,0.999457
115,0.999467
116,0.999462
117,0.999464
118,0.999464
119,0.999464
120,0.999466
121,0.999464
122,0.999481
123,0.999477
124,0.999463
average,0.999583
