frame,value
0,58.769127
1,58.827602
2,58.837494
3,58.829716
4,58.933380
5,58.822773
6,53.860634
7,46.664349
8,45.197426
9,45.030270
10,44.752365
11,44.703285
12,44.702755
13,44.699169
14,44.640549
15,44.733799
16,44.753971
17,44.939529
18,45.089245
19,45.224033
20,45.351597
21,45.430370
22,45.533180
23,45.639454
24,45.864700
25,45.923870
26,45.993519
27,46.036480
28,46.065178
29,45.908520
30,45.929905
31,45.969391
32,45.992100
33,46.011333
34,46.035858
35,46.060135
36,46.065266
37,46.080273
38,46.314159
39,46.330372
40,46.363571
41,46.354637
42,46.384983
43,46.378197
44,46.213581
45,46.228954
46,46.228130
47,46.208908
48,46.220490
49,46.228329
50,46.228912
51,46.234127
52,46.436462
53,46.418999
54,46.445160
55,46.463261
56,46.473736
57,46.476002
58,46.271679
59,46.295799
60,46.304005
61,46.312263
62,46.314754
63,46.311710
64,46.325359
65,46.531788
66,46.531086
67,46.526268
68,46.540520
69,46.536072
70,46.536552
71,46.535805
72,46.339649
73,46.347950
74,46.328709
75,46.333466
76,46.343227
77,46.342281
78,46.337982
79,46.340603
80,46.539280
81,46.547432
82,46.556351
83,46.548622
84,46.548992
85,46.357883
86,46.354153
87,46.358311
88,46.367496
89,46.362530
90,46.365891
91,46.366596
92,46.360210
93,46.370861
94,46.560711
95,46.570293
96,46.567326
97,46.561554
98,46.583004
99,46.584827
100,46.386471
101,46.384312
102,46.386181
103,46.382446
104,46.389462
105,46.381359
106,46.396328
107,46.594254
108,46.590626
109,46.585003
110,46.601669
111,46.612961
112,46.590469
113,46.589077
114,46.403275
115,46.408970
116,46.395645
117,46.396568
118,46.388069
119,46.404503
120,46.396049
121,46.397366
122,46.584595
123,46.581459
124,46.557312
average,46.850704
