frame,value
0,58.379341
1,58.455635
2,58.466686
3,58.472198
4,58.615997
5,58.499870
6,51.793518
7,43.109077
8,40.792084
9,40.539635
10,40.297367
11,40.287426
12,40.278564
13,40.267525
14,40.430641
15,40.526047
16,40.719978
17,40.933468
18,41.110939
19,41.285965
20,41.449944
21,41.565346
22,41.711338
23,41.872810
24,41.922386
25,42.011639
26,42.122986
27,42.190811
28,42.239849
29,42.311790
30,42.350517
31,42.421268
32,42.483253
33,42.535248
34,42.599812
35,42.660408
36,42.685040
37,42.727142
38,42.799694
39,42.855175
40,42.926174
41,42.929585
42,43.004539
43,43.021290
44,43.103905
45,43.145908
46,43.156559
47,43.133171
48,43.174206
49,43.199520
50,43.198650
51,43.226604
52,43.219078
53,43.195339
54,43.243931
55,43.281021
56,43.312454
57,43.314137
58,43.337353
59,43.388439
60,43.401142
61,43.420139
62,43.433937
63,43.432690
64,43.461746
65,43.448792
66,43.452278
67,43.438610
68,43.468830
69,43.454502
70,43.461319
71,43.465931
72,43.508389
73,43.520348
74,43.489769
75,43.511265
76,43.521568
77,43.526333
78,43.513802
79,43.514870
80,43.489616
81,43.504025
82,43.520397
83,43.507763
84,43.508621
85,43.547291
86,43.553600
87,43.548756
88,43.574348
89,43.558624
90,43.566784
91,43.575157
92,43.559753
93,43.582363
94,43.535618
95,43.547905
96,43.547531
97,43.529957
98,43.572117
99,43.567268
100,43.609009
101,43.615791
102,43.613880
103,43.604797
104,43.617352
105,43.603951
106,43.633278
107,43.599167
108,43.592323
109,43.584103
110,43.618561
111,43.635181
112,43.609875
113,43.596691
114,43.652130
115,43.661808
116,43.645855
117,43.646809
118,43.627796
119,43.659153
120,43.640839
121,43.647610
122,43.596874
123,43.582218
124,43.530224
average,43.784473
