frame,value
0,0.996740
1,0.983132
2,0.996348
3,0.983205
4,0.996356
5,0.983919
6,0.996618
7,0.965527
8,0.970986
9,0.882892
10,0.901699
11,0.729444
12,0.738350
13,0.687733
14,0.676683
15,0.646022
16,0.670897
17,0.660202
18,0.680877
19,0.668359
20,0.686288
21,0.660019
22,0.696162
23,0.682146
24,0.703514
25,0.689162
26,0.713965
27,0.692668
28,0.719706
29,0.701337
30,0.725328
31,0.705607
32,0.730093
33,0.711412
34,0.746644
35,0.715296
36,0.745811
37,0.722303
38,0.750690
39,0.723814
40,0.749862
41,0.726496
42,0.756838
43,0.731242
44,0.759823
45,0.711411
46,0.759691
47,0.725378
48,0.761827
49,0.731535
50,0.764602
51,0.734445
52,0.767761
53,0.738551
54,0.772802
55,0.732951
56,0.780341
57,0.742996
58,0.799158
59,0.746149
60,0.747211
61,0.797053
62,0.753026
63,0.749945
64,0.810616
65,0.758858
66,0.759393
67,0.812908
68,0.757524
69,0.761949
70,0.822764
71,0.768680
72,0.767071
73,0.827177
74,0.779805
75,0.833077
76,0.770181
77,0.838888
78,0.774704
79,0.838761
80,0.766000
81,0.769810
82,0.839313
83,0.769919
84,0.770097
85,0.845027
86,0.775246
87,0.772632
88,0.842800
89,0.782270
90,0.847385
91,0.774717
92,0.777265
93,0.850295
94,0.778261
95,0.779258
96,0.851899
97,0.786052
98,0.850562
99,0.785688
100,0.854665
101,0.788062
102,0.853815
103,0.786404
104,0.854515
105,0.789828
106,0.855653
107,0.790798
108,0.857658
109,0.785360
110,0.783035
111,0.855862
112,0.785821
113,0.783860
114,0.860613
115,0.789471
116,0.786347
117,0.859605
118,0.795472
119,0.862133
120,0.792214
121,0.788818
122,0.862356
123,0.797869
124,0.863753
125,0.796708
126,0.863956
127,0.795215
128,0.864466
129,0.791915
130,0.788084
131,0.864771
132,0.790126
133,0.788029
134,0.866027
135,0.797363
136,0.865550
137,0.797414
138,0.870784
139,0.794544
140,0.792975
141,0.872287
142,0.797283
143,0.794395
144,0.876337
145,0.797405
146,0.791310
147,0.874967
148,0.797059
149,0.792978
150,0.874663
151,0.797427
152,0.793043
153,0.873331
154,0.794440
155,0.876388
156,0.792995
157,0.873322
158,0.796789
159,0.872310
160,0.800367
161,0.874840
162,0.799204
163,0.875410
164,0.797990
165,0.794100
166,0.876167
167,0.799723
168,0.796468
169,0.878527
170,0.801238
171,0.878059
172,0.798054
173,0.879246
174,0.799323
175,0.797390
176,0.878520
177,0.800853
178,0.797299
179,0.880969
180,0.801714
181,0.798229
182,0.877542
183,0.804174
184,0.878530
185,0.805525
186,0.879592
