frame,value
0,0.999909
1,0.999758
2,0.999861
3,0.999759
4,0.999864
5,0.999772
6,0.999874
7,0.999207
8,0.999317
9,0.996264
10,0.996659
11,0.984275
12,0.987282
13,0.975859
14,0.984172
15,0.971400
16,0.979779
17,0.971481
18,0.978040
19,0.972333
20,0.977417
21,0.970244
22,0.978441
23,0.973817
24,0.978646
25,0.974355
26,0.979186
27,0.974890
28,0.979671
29,0.975391
30,0.980125
31,0.976066
32,0.980297
33,0.975599
34,0.981397
35,0.976022
36,0.981803
37,0.977504
38,0.982242
39,0.978003
40,0.983160
41,0.978788
42,0.983911
43,0.979328
44,0.984735
45,0.977170
46,0.985705
47,0.979242
48,0.985974
49,0.979986
50,0.986371
51,0.980128
52,0.986697
53,0.980681
54,0.986918
55,0.979737
56,0.987243
57,0.980122
58,0.988486
59,0.980857
60,0.980607
61,0.988330
62,0.981579
63,0.981093
64,0.989558
65,0.982226
66,0.982289
67,0.989493
68,0.982516
69,0.982547
70,0.990209
71,0.983384
72,0.982919
73,0.990680
74,0.984212
75,0.991409
76,0.983698
77,0.991798
78,0.984267
79,0.991820
80,0.984030
81,0.983791
82,0.991927
83,0.984461
84,0.984262
85,0.992375
86,0.984923
87,0.984424
88,0.992189
89,0.985217
90,0.992536
91,0.985187
92,0.984956
93,0.992751
94,0.985588
95,0.985301
96,0.992852
97,0.985890
98,0.992764
99,0.985911
100,0.993033
101,0.986150
102,0.992957
103,0.986148
104,0.993017
105,0.986263
106,0.993088
107,0.986370
108,0.993175
109,0.986390
110,0.986029
111,0.993052
112,0.986553
113,0.986181
114,0.993246
115,0.986695
116,0.986178
117,0.992934
118,0.986803
119,0.993036
120,0.986687
121,0.986218
122,0.993098
123,0.986946
124,0.993310
125,0.986713
126,0.993323
127,0.986648
128,0.993383
129,0.986732
130,0.986287
131,0.993417
132,0.986797
133,0.986439
134,0.993527
135,0.986933
136,0.993449
137,0.986982
138,0.993793
139,0.987159
140,0.986751
141,0.993876
142,0.987252
143,0.986837
144,0.994102
145,0.987304
146,0.986778
147,0.994014
148,0.987343
149,0.986823
150,0.994121
151,0.987400
152,0.986913
153,0.994058
154,0.987150
155,0.994363
156,0.987605
157,0.994221
158,0.987884
159,0.994172
160,0.987972
161,0.994226
162,0.987844
163,0.994285
164,0.987900
165,0.987602
166,0.994245
167,0.988065
168,0.987686
169,0.994349
170,0.987973
171,0.994408
172,0.988081
173,0.994454
174,0.988161
175,0.987739
176,0.994361
177,0.988253
178,0.987864
179,0.994487
180,0.988298
181,0.987863
182,0.994294
183,0.988134
184,0.994423
185,0.988304
186,0.994514
187,0.988254
188,0.994585
189,0.988322
190,0.994656
191,0.988523
192,0.994597
193,0.988774
194,0.994525
195,0.988243
196,0.994615
197,0.988423
198,0.988065
199,0.994600
200,0.988542
201,0.988234
202,0.994710
203,0.988609
204,0.994659
205,0.988593
206,0.988308
207,0.994760
208,0.988765
209,0.988390
210,0.994858
211,0.988712
212,0.987938
213,0.994752
214,0.988026
215,0.987774
216,0.994727
217,0.988189
218,0.987821
219,0.994704
220,0.988310
221,0.987848
222,0.994686
223,0.988300
224,0.987973
225,0.994694
226,0.988332
227,0.987940
228,0.994667
229,0.988362
230,0.994682
231,0.988491
232,0.994735
233,0.988498
234,0.988115
235,0.994600
236,0.988537
237,0.994713
238,0.988555
239,0.994683
240,0.988456
241,0.994650
242,0.988510
243,0.994647
244,0.988469
245,0.994703
246,0.988369
247,0.994749
248,0.988375
249,0.994780
250,0.997478
251,0.988535
252,0.995176
253,0.988519
254,0.988159
255,0.995068
256,0.988522
257,0.988073
258,0.994897
259,0.988325
260,0.987909
261,0.994804
262,0.988283
263,0.988003
264,0.994815
265,0.988428
266,0.987994
267,0.994870
268,0.988460
269,0.988137
270,0.994879
271,0.988498
272,0.995078
273,0.988506
274,0.988314
275,0.995059
276,0.988715
277,0.988382
278,0.995025
279,0.988762
280,0.988313
281,0.995015
282,0.988747
283,0.988342
284,0.995043
285,0.988754
286,0.988359
287,0.995059
288,0.988786
289,0.988449
290,0.995084
291,0.988934
292,0.988527
293,0.995099
294,0.989022
295,0.988732
296,0.995082
297,0.989119
298,0.988787
299,0.995141
300,0.988938
301,0.995254
302,0.988764
303,0.988558
304,0.995244
305,0.989073
306,0.988774
307,0.995281
308,0.989251
309,0.988886
310,0.995235
311,0.988987
312,0.988462
313,0.995175
314,0.989038
315,0.988603
316,0.995256
317,0.989046
318,0.988703
319,0.995245
320,0.989141
321,0.988701
322,0.995167
323,0.989130
324,0.988683
325,0.995224
326,0.989163
327,0.988555
328,0.995170
329,0.989183
330,0.988736
331,0.995179
332,0.989246
333,0.988939
334,0.995288
335,0.989288
336,0.988958
337,0.995328
338,0.989203
339,0.988847
340,0.995363
341,0.989148
342,0.988723
343,0.995404
344,0.989198
345,0.988813
346,0.995476
347,0.989246
348,0.988884
349,0.995525
350,0.989260
351,0.988759
352,0.995603
353,0.989239
354,0.988924
355,0.995565
356,0.989346
357,0.989018
358,0.995511
359,0.989347
360,0.988792
361,0.995470
362,0.989175
363,0.988540
364,0.995513
365,0.989094
366,0.988690
367,0.995500
368,0.989191
369,0.988687
370,0.995540
371,0.989203
372,0.988789
373,0.995609
374,0.989263
375,0.988745
376,0.995642
377,0.989245
378,0.988942
379,0.995705
380,0.989503
381,0.989186
382,0.995720
383,0.989527
384,0.989213
385,0.995706
386,0.989618
387,0.989115
388,0.995777
389,0.989282
390,0.988688
391,0.995789
392,0.989197
393,0.988784
394,0.995747
395,0.989332
396,0.988782
397,0.995764
398,0.989246
399,0.988808
400,0.995762
401,0.989309
402,0.988763
403,0.995772
404,0.989272
405,0.988820
406,0.995777
407,0.989273
408,0.988831
409,0.995765
410,0.989342
411,0.988893
412,0.995779
413,0.989374
414,0.988861
415,0.995810
416,0.989348
417,0.988886
418,0.995773
419,0.989369
420,0.989152
421,0.995789
422,0.989626
423,0.991857
424,0.989706
425,0.995774
426,0.989777
427,0.991823
428,0.989809
429,0.995707
430,0.989932
431,0.991892
432,0.989878
433,0.995574
434,0.990000
435,0.991978
436,0.989957
437,0.995534
438,0.990054
439,0.992106
440,0.989927
441,0.995401
