frame,value
0,65.403595
1,60.195946
2,63.217346
3,60.122135
4,63.248016
5,60.427322
6,63.777580
7,55.211327
8,56.327591
9,50.898220
10,54.195446
11,49.922508
12,53.398067
13,48.826576
14,51.855309
15,47.454544
16,50.922558
17,46.798950
18,50.447853
19,46.233746
20,49.992756
21,45.797771
22,49.644764
23,45.426090
24,49.363441
25,45.358002
26,49.323322
27,45.460716
28,49.246223
29,45.509632
30,49.220654
31,45.303677
32,49.258633
33,45.597042
34,49.745285
35,45.787590
36,49.908939
37,45.900238
38,49.991524
39,45.939121
40,49.976360
41,46.053772
42,50.167854
43,46.301308
44,50.327606
45,46.424774
46,50.319847
47,46.434509
48,50.421154
49,46.535046
50,50.524525
51,46.670513
52,50.520203
53,46.772999
54,50.586506
55,46.988506
56,50.752731
57,47.295216
58,51.318668
59,47.479687
60,47.424347
61,51.373558
62,47.597450
63,47.614216
64,51.505363
65,47.813137
66,47.748890
67,51.542721
68,47.981552
69,47.956596
70,51.792423
71,48.118893
72,48.097279
73,51.816792
74,48.377621
75,51.955765
76,48.294285
77,52.127579
78,48.265846
79,52.271385
80,48.286999
81,48.221516
82,52.280884
83,48.335621
84,48.322277
85,52.345440
86,48.387840
87,48.358089
88,52.281353
89,48.459709
90,52.434132
91,48.522068
92,48.537441
93,52.500717
94,48.649281
95,48.616333
96,52.451687
97,48.668423
98,52.419430
99,48.707336
100,52.552265
101,48.804920
102,52.584396
103,48.830662
104,52.644302
105,48.855362
106,52.715508
107,48.889736
108,52.793346
109,48.895588
110,48.909229
111,52.766846
112,48.944904
113,48.996284
114,52.765396
115,49.102787
116,49.096279
117,52.700863
118,49.288517
119,52.882298
120,49.416271
121,49.389256
122,52.991596
123,49.520344
124,53.085827
125,49.430355
126,53.140488
127,49.432529
128,53.237598
129,49.405396
130,49.382660
131,53.276962
132,49.419125
133,49.398247
134,53.221931
135,49.476128
136,53.264690
137,49.499477
138,53.481144
139,49.525902
140,49.481140
141,53.530399
142,49.514771
143,49.463619
144,53.528625
145,49.503326
146,49.455555
147,53.438530
148,49.447720
149,49.379589
150,53.352001
151,49.442219
152,49.430004
153,53.308407
154,49.429695
155,53.268349
