frame,value
0,0.999928
1,0.999809
2,0.999927
3,0.999807
4,0.999928
5,0.999806
6,0.999929
7,0.999585
8,0.999620
9,0.997409
10,0.997950
11,0.991624
12,0.991487
13,0.987405
14,0.984617
15,0.982267
16,0.983784
17,0.983245
18,0.984337
19,0.984060
20,0.985401
21,0.984354
22,0.986598
23,0.985874
24,0.987361
25,0.986676
26,0.988135
27,0.986971
28,0.988699
29,0.987901
30,0.989228
31,0.988121
32,0.989547
33,0.988025
34,0.990338
35,0.988739
36,0.990744
37,0.989495
38,0.991168
39,0.989921
40,0.991356
41,0.990153
42,0.991671
43,0.990108
44,0.991930
45,0.989834
46,0.992151
47,0.990471
48,0.992454
49,0.990971
50,0.992679
51,0.991191
52,0.992739
53,0.991315
54,0.992880
55,0.991114
56,0.992933
57,0.991122
58,0.993407
59,0.991509
60,0.991271
61,0.993422
62,0.991776
63,0.991584
64,0.993957
65,0.992026
66,0.991916
67,0.994033
68,0.991963
69,0.992109
70,0.994407
71,0.992554
72,0.992361
73,0.994797
74,0.993322
75,0.995096
76,0.993033
77,0.995438
78,0.993489
79,0.995667
80,0.992926
81,0.993307
82,0.995784
83,0.993384
84,0.993435
85,0.995950
86,0.993733
87,0.993651
88,0.995935
89,0.994204
90,0.996138
91,0.993832
92,0.994034
93,0.996299
94,0.994102
95,0.994157
96,0.996352
97,0.994585
98,0.996364
99,0.994644
100,0.996576
101,0.994818
102,0.996605
103,0.994843
104,0.996695
105,0.994987
106,0.996766
107,0.995076
108,0.996857
109,0.994799
110,0.994793
111,0.996859
112,0.994815
113,0.994818
114,0.996897
115,0.994960
116,0.994817
117,0.996784
118,0.995094
119,0.996874
120,0.994945
121,0.994793
122,0.996953
123,0.995298
124,0.997017
125,0.995357
126,0.997093
127,0.995396
128,0.997158
129,0.995244
130,0.995178
131,0.997197
132,0.995276
133,0.995211
134,0.997207
135,0.995573
136,0.997207
137,0.995593
138,0.997405
139,0.995443
140,0.995424
141,0.997452
142,0.995631
143,0.995629
144,0.997518
145,0.995663
146,0.995570
147,0.997488
148,0.995706
149,0.995633
150,0.997523
151,0.995766
152,0.995688
153,0.997509
154,0.995862
155,0.997626
156,0.995839
157,0.997640
158,0.996020
159,0.997623
160,0.996148
161,0.997675
162,0.996101
163,0.997696
164,0.995944
165,0.995943
166,0.997699
167,0.995997
168,0.996015
169,0.997736
170,0.996224
171,0.997717
172,0.996082
173,0.997783
174,0.996071
175,0.996101
176,0.997780
177,0.996119
178,0.996112
179,0.997814
180,0.996129
181,0.996121
182,0.997741
183,0.996345
184,0.997774
185,0.996398
186,0.997832
187,0.996362
188,0.997864
189,0.996158
190,0.997868
191,0.996210
192,0.997812
193,0.996405
194,0.997852
195,0.996156
196,0.997921
197,0.996180
198,0.996166
199,0.997879
200,0.996184
201,0.996248
202,0.997932
203,0.996511
204,0.997901
205,0.996261
206,0.996319
207,0.997954
208,0.996298
209,0.996347
210,0.997989
211,0.996360
212,0.996306
213,0.997921
214,0.996236
215,0.996308
216,0.997900
217,0.996266
218,0.996299
219,0.997908
220,0.996302
221,0.996308
222,0.997912
223,0.996320
224,0.996339
225,0.997909
226,0.996311
227,0.996355
228,0.997894
229,0.996473
230,0.997902
231,0.996561
232,0.997944
233,0.996351
234,0.996389
235,0.997906
236,0.996553
237,0.997948
238,0.996619
239,0.997934
240,0.996525
241,0.997933
242,0.996639
243,0.997932
244,0.996562
245,0.997944
246,0.996575
247,0.997961
248,0.996647
249,0.997975
250,0.999032
251,0.996648
252,0.998022
253,0.996421
254,0.996446
255,0.998021
256,0.996418
257,0.996426
258,0.997907
259,0.996340
260,0.996352
261,0.997873
262,0.996333
263,0.996429
264,0.997893
265,0.996352
266,0.996424
267,0.997905
268,0.996390
269,0.996461
270,0.997912
271,0.996568
272,0.997989
273,0.996249
274,0.996208
275,0.997986
276,0.996486
277,0.996526
278,0.997985
279,0.996490
280,0.996549
281,0.997971
282,0.996498
283,0.996521
284,0.997988
285,0.996505
286,0.996553
287,0.997997
288,0.996493
289,0.996605
290,0.998008
291,0.996562
292,0.996581
293,0.998020
294,0.996563
295,0.996624
296,0.998023
297,0.996628
