frame,value
0,55.989735
1,51.621300
2,56.017021
3,51.602558
4,56.032848
5,51.666836
6,56.170719
7,48.227077
8,49.132595
9,39.685562
10,41.341255
11,34.254673
12,34.197067
13,32.296650
14,31.098915
15,30.470964
16,30.894648
17,30.936190
18,31.254148
19,31.258532
20,31.670464
21,31.321182
22,32.077553
23,31.924105
24,32.456509
25,32.256886
26,32.826019
27,32.416821
28,33.133595
29,32.833706
30,33.393250
31,33.002567
32,33.630207
33,33.304665
34,34.397343
35,33.683315
36,34.540958
37,33.966480
38,34.795666
39,34.146088
40,34.816269
41,34.187096
42,35.052662
43,34.245415
44,35.230465
45,33.928612
46,35.283688
47,34.320606
48,35.447647
49,34.595764
50,35.599197
51,34.742020
52,35.602448
53,34.803249
54,35.749950
55,34.664211
56,35.856876
57,35.048683
58,36.559174
59,35.271126
60,35.322502
61,36.635479
62,35.540329
63,35.443081
64,37.060528
65,35.706310
66,35.732803
67,37.160183
68,35.752266
69,35.952724
70,37.591827
71,36.175430
72,36.110626
73,37.990658
74,36.747467
75,38.208797
76,36.486195
77,38.480492
78,36.723267
79,38.635162
80,36.230007
81,36.527676
82,38.741974
83,36.420872
84,36.509060
85,38.944321
86,36.717812
87,36.705322
88,38.951443
89,37.148052
90,39.179573
91,36.699081
92,36.972839
93,39.380535
94,36.864960
95,36.991402
96,39.435730
97,37.356247
98,39.423729
99,37.443745
100,39.701611
101,37.591862
102,39.757874
103,37.597134
104,39.893040
105,37.750645
106,40.013172
107,37.852409
108,40.156998
109,37.473141
110,37.515621
111,40.202183
112,37.519581
113,37.564087
114,40.314400
115,37.707718
116,37.706558
117,40.273830
118,38.155788
119,40.513714
120,37.980583
121,37.887470
122,40.774731
123,38.488972
124,40.931877
125,38.556339
126,41.027847
127,38.500534
128,41.119194
129,38.265198
130,38.228165
131,41.214092
132,38.288692
133,38.267376
134,41.249443
135,38.720852
136,41.246128
137,38.751255
138,41.606815
139,38.444141
140,38.467510
141,41.733021
142,38.628269
143,38.646187
144,41.813995
145,38.635654
146,38.452595
147,41.704998
148,38.579521
149,38.515419
150,41.693756
151,38.539417
152,38.468933
153,41.639378
154,38.656815
155,41.767220
156,38.352646
157,41.781448
158,38.634403
159,41.717972
160,38.828678
161,41.890007
162,38.500225
163,41.966434
164,38.550228
165,38.541832
