frame,value
0,69.904572
1,64.968338
2,69.691589
3,64.880234
4,69.761131
5,64.874222
6,69.747345
7,60.479637
8,61.360405
9,47.535824
10,49.919003
11,38.491478
12,38.774651
13,35.637680
14,34.327099
15,33.356632
16,33.976559
17,33.768238
18,34.389084
19,34.201675
20,34.997971
21,34.403145
22,35.596283
23,35.131844
24,36.109138
25,35.572433
26,36.616943
27,35.768875
28,37.014603
29,36.298405
30,37.359753
31,36.487465
32,37.628143
33,36.652176
34,38.511898
35,37.097477
36,38.607899
37,37.480721
38,38.930759
39,37.767406
40,38.972942
41,37.801903
42,39.259853
43,37.754322
44,39.517017
45,37.525391
46,39.642410
47,38.049984
48,39.891560
49,38.416348
50,40.095734
51,38.590340
52,40.096561
53,38.648808
54,40.277534
55,38.437534
56,40.331020
57,38.650826
58,41.028442
59,38.808189
60,38.907692
61,41.044830
62,39.105984
63,39.066235
64,41.583008
65,39.271435
66,39.305050
67,41.558990
68,39.236820
69,39.490891
70,42.012184
71,39.719368
72,39.686977
73,42.599346
74,40.606358
75,42.999317
76,40.373337
77,43.514214
78,40.772243
79,43.836918
80,40.039852
81,40.533588
82,44.075363
83,40.377888
84,40.563194
85,44.372543
86,40.758236
87,40.827271
88,44.372036
89,41.378887
90,44.733692
91,40.787388
92,41.207714
93,45.070812
94,41.039360
95,41.254261
96,45.151501
97,41.714508
98,45.165337
99,41.858940
100,45.594078
101,42.053604
102,45.695889
103,42.086590
104,45.901802
105,42.253532
106,46.055504
107,42.377556
108,46.271667
109,41.851749
110,42.024242
111,46.317924
112,41.908043
113,42.029671
114,46.326611
115,42.091862
116,42.129898
117,46.030849
118,42.512981
119,46.251995
120,42.277458
121,42.227638
122,46.584160
123,42.947731
124,46.882820
125,43.079655
126,47.076172
127,43.069660
128,47.233589
129,42.730999
130,42.815113
131,47.363224
132,42.848637
133,42.913120
134,47.421051
135,43.380096
136,47.408085
137,43.415195
138,47.947334
139,42.951405
140,43.033119
141,48.112427
142,43.218624
143,43.381958
144,48.213947
145,43.257965
146,43.232918
147,48.109245
148,43.261169
149,43.312321
150,48.165718
151,43.271103
152,43.307564
153,48.161072
154,43.561127
155,48.552025
156,43.464947
157,48.635403
158,43.827866
159,48.572300
160,43.904980
161,48.747948
162,43.530529
163,48.827339
164,43.470695
165,43.624710
166,48.818947
167,43.553982
168,43.807976
169,48.831299
170,43.949718
171,48.740974
172,43.557835
173,49.008091
174,43.658504
175,43.947811
176,49.028477
177,43.753952
178,43.922638
179,49.065651
180,43.759541
181,43.916260
182,48.833157
183,44.266788
184,48.914730
185,44.371643
186,49.167057
187,44.310570
188,49.336632
189,44.016640
190,49.434078
191,44.094669
192,49.130756
193,44.187447
194,49.276691
195,43.736607
196,49.542015
197,43.808937
198,43.972958
199,49.370083
200,43.728725
201,44.081123
202,49.414021
203,44.422344
204,49.232754
205,43.861637
206,44.185593
207,49.461452
208,43.927933
209,44.226109
210,49.525200
211,44.065403
212,44.274021
213,49.392792
214,43.994457
215,44.330429
216,49.386414
217,44.122711
218,44.314880
219,49.410336
220,44.137085
221,44.410381
222,49.418312
223,44.230984
224,44.400105
225,49.421448
226,44.201702
227,44.454643
228,49.363525
229,44.580048
230,49.388168
231,44.709988
232,49.544281
233,44.324486
234,44.571552
235,49.481472
236,44.758839
237,49.556484
238,44.860149
239,49.506447
240,44.733807
241,49.503494
242,44.894855
243,49.489639
244,44.776676
245,49.563206
246,44.828918
247,49.645363
248,44.992039
249,49.681808
250,54.004677
251,44.948036
252,49.836884
253,44.425495
254,44.737022
255,49.927906
256,44.389709
257,44.589832
258,49.456039
259,44.195377
260,44.394932
261,49.317173
262,44.200691
263,44.530754
264,49.383438
265,44.221352
266,44.569553
267,49.404598
268,44.341911
269,44.636246
270,49.463070
271,44.813408
272,49.691936
273,44.088249
274,44.072762
275,49.739017
276,44.562973
277,44.864479
278,49.708027
279,44.537395
280,44.876930
281,49.647758
282,44.578808
283,44.833111
284,49.664219
285,44.585705
286,44.899734
287,49.672020
288,44.613365
289,45.029755
290,49.717609
291,44.730808
292,44.974926
293,49.729218
294,44.696732
295,45.033607
296,49.681721
297,44.783142
298,45.121387
299,49.680683
300,45.040062
301,49.877674
302,44.808712
