frame,value
0,64.250648
1,59.979137
2,62.977089
3,59.828529
4,62.905285
5,59.881023
6,63.018307
7,54.512230
8,54.356823
9,48.542519
10,47.907028
11,41.537422
12,41.379246
13,38.420406
14,40.279232
15,37.688110
16,39.359215
17,37.207653
18,38.732811
19,36.918423
20,38.400997
21,36.778961
22,38.256718
23,36.745964
24,38.206142
25,36.644905
26,38.180458
27,36.574074
28,38.173458
29,36.456108
30,38.168293
31,36.495407
32,38.184933
33,36.450466
34,38.166794
35,36.525848
36,38.126137
37,36.497921
38,38.115456
39,36.527924
40,38.080635
41,36.440125
42,38.099884
43,36.619938
44,38.140572
45,36.570805
46,38.284523
47,36.782181
48,38.419159
49,36.732056
50,38.542973
51,36.920734
52,38.639874
53,36.978348
54,38.756886
55,37.088634
56,38.864574
57,37.170856
58,38.953457
59,37.249760
60,39.078308
61,37.267460
62,39.172813
63,37.374992
64,39.291351
65,37.444519
66,39.368958
67,37.533497
68,39.458752
69,37.591606
70,39.532322
71,37.650723
72,39.595131
73,37.720242
74,39.675007
75,37.778374
76,39.740437
77,37.790810
78,39.792736
79,37.867729
80,39.894161
81,37.932144
82,39.959827
83,37.966240
84,40.011520
85,37.939198
86,39.965046
87,37.913387
88,39.990009
89,37.852402
90,40.027122
91,37.773811
92,40.005489
93,37.800949
94,40.013340
95,37.818016
96,40.000103
97,37.831413
98,40.018143
99,37.810280
100,40.048203
101,37.650692
102,39.980206
103,37.772888
104,39.954029
105,37.787712
106,40.002274
107,37.643295
108,40.002930
109,37.640034
110,39.991844
111,37.717659
112,40.042240
113,37.641212
114,40.027676
115,37.628895
116,39.970547
117,37.670383
118,39.835571
119,37.633835
120,39.554375
121,37.644272
122,39.080585
123,37.493267
124,37.520123
average,40.063004
