frame,value
0,0.997762
1,0.994287
2,0.997112
3,0.994089
4,0.997062
5,0.994135
6,0.997133
7,0.980905
8,0.980316
9,0.935245
10,0.927686
11,0.799773
12,0.797388
13,0.710582
14,0.765076
15,0.688446
16,0.737659
17,0.672871
18,0.718583
19,0.663206
20,0.708224
21,0.658422
22,0.703681
23,0.657335
24,0.702174
25,0.653465
26,0.701405
27,0.652857
28,0.701048
29,0.650033
30,0.701096
31,0.650675
32,0.701642
33,0.649475
34,0.700984
35,0.651698
36,0.699853
37,0.650154
38,0.699528
39,0.651239
40,0.698794
41,0.648982
42,0.699696
43,0.654264
44,0.700849
45,0.653495
46,0.705588
47,0.659512
48,0.709794
49,0.658940
50,0.713826
51,0.664772
52,0.717043
53,0.666824
54,0.720721
55,0.669861
56,0.724019
57,0.672741
58,0.726925
59,0.675342
60,0.730363
61,0.675170
62,0.733186
63,0.678632
64,0.736633
65,0.680739
66,0.738921
67,0.683031
68,0.741637
69,0.685543
70,0.743962
71,0.687496
72,0.745994
73,0.690023
74,0.748202
75,0.691527
76,0.750485
77,0.692141
78,0.752101
79,0.694803
80,0.755148
81,0.696610
82,0.757158
83,0.697940
84,0.758742
85,0.696898
86,0.758352
87,0.697035
88,0.759299
89,0.695294
90,0.760568
91,0.693704
92,0.761120
93,0.695447
94,0.761414
95,0.696488
96,0.761085
97,0.696938
98,0.761714
99,0.695162
100,0.762123
101,0.690986
102,0.759785
103,0.694366
104,0.759318
105,0.694453
106,0.760327
107,0.690466
108,0.760340
109,0.689988
110,0.759468
111,0.692203
112,0.760825
113,0.689713
114,0.760312
115,0.689162
116,0.758586
117,0.690332
118,0.754644
119,0.688887
120,0.746174
121,0.689540
122,0.731953
123,0.684269
124,0.685145
average,0.732131
