frame,value
0,0.999985
1,0.999970
2,0.999980
3,0.999969
4,0.999980
5,0.999969
6,0.999981
7,0.999893
8,0.999889
9,0.999541
10,0.999481
11,0.998226
12,0.998740
13,0.996482
14,0.998089
15,0.995338
16,0.997371
17,0.994504
18,0.996856
19,0.993982
20,0.996472
21,0.993627
22,0.996249
23,0.993486
24,0.996128
25,0.993322
26,0.996071
27,0.993241
28,0.996066
29,0.993170
30,0.996105
31,0.993252
32,0.996239
33,0.993436
34,0.996388
35,0.993682
36,0.996507
37,0.993756
38,0.996652
39,0.993978
40,0.996748
41,0.994015
42,0.996850
43,0.994301
44,0.996950
45,0.994348
46,0.997024
47,0.994510
48,0.997099
49,0.994534
50,0.997171
51,0.994696
52,0.997233
53,0.994755
54,0.997295
55,0.994832
56,0.997349
57,0.994947
58,0.997390
59,0.994993
60,0.997453
61,0.994989
62,0.997500
63,0.995073
64,0.997546
65,0.995121
66,0.997576
67,0.995188
68,0.997617
69,0.995263
70,0.997641
71,0.995317
72,0.997679
73,0.995387
74,0.997712
75,0.995416
76,0.997744
77,0.995464
78,0.997775
79,0.995530
80,0.997812
81,0.995588
82,0.997844
83,0.995616
84,0.997867
85,0.995630
86,0.997901
87,0.995685
88,0.997911
89,0.995699
90,0.997938
91,0.995715
92,0.997969
93,0.995785
94,0.997980
95,0.995823
96,0.997977
97,0.995837
98,0.997983
99,0.995806
100,0.997993
101,0.995664
102,0.997975
103,0.995592
104,0.997969
105,0.995646
106,0.997975
107,0.995677
108,0.997972
109,0.995729
110,0.997951
111,0.995824
112,0.997950
113,0.995818
114,0.997937
115,0.995827
116,0.997904
117,0.995806
118,0.997818
119,0.995753
120,0.997682
121,0.995749
122,0.997348
123,0.995695
124,0.996008
average,0.996541
