frame,value
0,64.191513
1,60.224861
2,62.789516
3,60.084278
4,62.742714
5,60.123638
6,62.848404
7,54.756134
8,54.583050
9,48.204029
10,47.763378
11,41.543839
12,43.392822
13,38.297031
14,41.459282
15,36.944786
16,39.955112
17,36.083271
18,39.102245
19,35.624268
20,38.561493
21,35.327244
22,38.260593
23,35.251286
24,38.087597
25,35.085464
26,37.985859
27,34.989578
28,38.006996
29,34.932224
30,38.060825
31,34.999443
32,38.226955
33,35.112476
34,38.435421
35,35.339199
36,38.582333
37,35.386986
38,38.773762
39,35.569103
40,38.908909
41,35.599083
42,39.073082
43,35.856876
44,39.224556
45,35.871281
46,39.354271
47,36.050262
48,39.473351
49,36.050442
50,39.597160
51,36.186535
52,39.690014
53,36.239197
54,39.806973
55,36.341526
56,39.891685
57,36.447609
58,39.953915
59,36.498596
60,40.090454
61,36.483658
62,40.186970
63,36.585693
64,40.278667
65,36.650822
66,40.355652
67,36.746555
68,40.412853
69,36.826374
70,40.472195
71,36.863903
72,40.538017
73,36.960224
74,40.614841
75,36.989227
76,40.670174
77,37.030361
78,40.727962
79,37.103611
80,40.827633
81,37.191723
82,40.889053
83,37.222450
84,40.929619
85,37.204639
86,40.923527
87,37.290791
88,40.950001
89,37.246311
90,40.994579
91,37.231415
92,41.023819
93,37.335930
94,41.044907
95,37.359879
96,41.047646
97,37.381332
98,41.050930
99,37.322365
100,41.081348
101,37.243713
102,41.116726
103,37.220821
104,41.095718
105,37.241219
106,41.115723
107,37.278088
108,41.106098
109,37.295597
110,41.070469
111,37.407192
112,41.066463
113,37.383171
114,41.028202
115,37.381100
116,40.941677
117,37.375248
118,40.731030
119,37.315666
120,40.425068
121,37.329033
122,39.752865
123,37.237766
124,37.670380
average,40.102173
