frame,value
0,0.999864
1,0.999708
2,0.999819
3,0.999696
4,0.999815
5,0.999701
6,0.999818
7,0.998935
8,0.998893
9,0.995967
10,0.995315
11,0.987684
12,0.990114
13,0.978652
14,0.985789
15,0.973211
16,0.981336
17,0.969577
18,0.978412
19,0.967565
20,0.976339
21,0.966062
22,0.975146
23,0.965435
24,0.974541
25,0.964773
26,0.974317
27,0.964299
28,0.974083
29,0.963816
30,0.974331
31,0.964211
32,0.974957
33,0.964764
34,0.975783
35,0.965958
36,0.976299
37,0.966260
38,0.977113
39,0.967286
40,0.977612
41,0.967218
42,0.978112
43,0.968564
44,0.978759
45,0.968660
46,0.979166
47,0.969534
48,0.979642
49,0.969426
50,0.979998
51,0.970259
52,0.980369
53,0.970528
54,0.980768
55,0.970803
56,0.981064
57,0.971276
58,0.981333
59,0.971446
60,0.981698
61,0.971528
62,0.981967
63,0.971888
64,0.982300
65,0.972155
66,0.982473
67,0.972453
68,0.982760
69,0.972735
70,0.982956
71,0.973021
72,0.983194
73,0.973296
74,0.983391
75,0.973458
76,0.983574
77,0.973661
78,0.983779
79,0.973947
80,0.984017
81,0.974139
82,0.984223
83,0.974314
84,0.984381
85,0.974369
86,0.984613
87,0.974459
88,0.984679
89,0.974444
90,0.984910
91,0.974447
92,0.985113
93,0.974642
94,0.985149
95,0.974846
96,0.985082
97,0.974940
98,0.985109
99,0.974837
100,0.985179
101,0.973627
102,0.984700
103,0.973607
104,0.984604
105,0.973730
106,0.984702
107,0.973621
108,0.984638
109,0.973878
110,0.984500
111,0.974456
112,0.984632
113,0.974167
114,0.984595
115,0.974128
116,0.984360
117,0.974098
118,0.983884
119,0.973828
120,0.982999
121,0.973883
122,0.981101
123,0.973458
124,0.973853
average,0.978555
