frame,value
0,78.215538
1,73.509781
2,76.880798
3,73.431900
4,76.811790
5,73.432076
6,76.879646
7,70.751480
8,72.968742
9,66.333374
10,67.495445
11,63.718773
12,66.665863
13,62.681034
14,65.640442
15,61.425343
16,64.650955
17,60.387180
18,63.926006
19,59.612064
20,63.513241
21,59.031734
22,63.054955
23,58.553532
24,62.724537
25,58.232052
26,62.448933
27,57.906067
28,62.285141
29,57.702084
30,62.128132
31,57.560207
32,62.105110
33,57.493034
34,62.056019
35,57.393517
36,61.986618
37,57.348164
38,61.926437
39,57.252312
40,61.904255
41,57.230392
42,61.888329
43,57.136906
44,61.859482
45,57.119678
46,61.827747
47,57.080879
48,61.824188
49,57.098572
50,61.829800
51,57.026646
52,61.784206
53,57.072384
54,61.856861
55,57.008015
56,61.854202
57,57.017166
58,61.838028
59,57.007763
60,61.868515
61,57.109550
62,61.888081
63,57.118668
64,61.939697
65,57.129887
66,61.976093
67,57.190285
68,61.938087
69,57.169781
70,61.982121
71,57.274681
72,62.000687
73,57.279541
74,62.043167
75,57.345276
76,62.098301
77,57.474350
78,62.106346
79,57.502876
80,62.145706
81,57.547798
82,62.136700
83,57.608791
84,62.164291
85,57.688175
86,62.175072
87,57.751434
88,62.184456
89,57.869415
90,62.238197
91,57.975613
92,62.267315
93,58.016891
94,62.264671
95,58.046925
96,62.264874
97,58.042542
98,62.327972
99,58.096863
100,62.371906
101,58.078270
102,62.470108
103,58.072163
104,62.420479
105,58.106571
106,62.442619
107,58.128971
108,62.412151
109,58.178581
110,62.333157
111,58.227882
112,62.260078
113,58.189941
114,62.210770
115,58.144566
116,62.090050
117,58.091183
118,61.927238
119,58.110142
120,61.615524
121,58.108952
122,60.930683
123,58.051018
124,58.384579
average,61.295937
