frame,value
0,0.999786
1,0.999624
2,0.999611
3,0.999710
4,0.999609
5,0.999619
6,0.999708
7,0.999284
8,0.998582
9,0.999135
10,0.996340
11,0.994398
12,0.995852
13,0.989266
14,0.986714
15,0.989776
16,0.985213
17,0.984268
18,0.987713
19,0.984138
20,0.983718
21,0.987434
22,0.984180
23,0.984200
24,0.988051
25,0.984314
26,0.984188
27,0.988661
28,0.984874
29,0.984724
30,0.989418
31,0.985316
32,0.985188
33,0.990105
34,0.985730
35,0.985398
36,0.990900
37,0.985987
38,0.985796
39,0.991507
40,0.986429
41,0.986079
42,0.992031
43,0.986782
44,0.986593
45,0.992462
46,0.987211
47,0.986815
48,0.992751
49,0.987451
50,0.987170
51,0.992978
52,0.987685
53,0.987395
54,0.993177
55,0.987830
56,0.987525
57,0.993339
58,0.987942
59,0.987688
60,0.993443
61,0.988256
62,0.987944
63,0.993535
64,0.988432
65,0.988206
66,0.993649
67,0.988590
68,0.988332
69,0.993716
70,0.988748
71,0.988489
72,0.993775
73,0.988820
74,0.988575
75,0.993852
76,0.988906
77,0.988677
78,0.993922
79,0.988977
80,0.988752
81,0.993983
82,0.989061
83,0.988860
84,0.994033
85,0.989125
86,0.988911
87,0.994083
88,0.989186
89,0.988973
90,0.994144
91,0.989257
92,0.989050
93,0.994183
94,0.989314
95,0.989121
96,0.994276
97,0.989370
98,0.989179
99,0.994395
100,0.989334
101,0.991037
102,0.989339
103,0.994238
104,0.989476
105,0.989330
106,0.994316
107,0.989607
108,0.989440
109,0.994244
110,0.989633
111,0.989483
112,0.994179
113,0.989705
114,0.989522
115,0.994039
116,0.989683
117,0.989515
118,0.993735
119,0.989663
120,0.989526
121,0.992949
122,0.989543
123,0.989396
124,0.989885
average,0.990323
