frame,value
0,65.027870
1,61.851860
2,61.732616
3,63.085377
4,61.749264
5,61.877209
6,63.433033
7,58.535988
8,55.617558
9,58.376152
10,51.772919
11,49.919315
12,51.907482
13,47.275948
14,46.549061
15,49.833282
16,45.702431
17,45.275318
18,48.505909
19,44.935509
20,44.796284
21,47.987541
22,44.804546
23,44.880390
24,48.135723
25,44.940308
26,44.932293
27,48.386383
28,45.126606
29,45.123402
30,48.725311
31,45.327705
32,45.325367
33,49.021366
34,45.487885
35,45.441788
36,49.384266
37,45.658478
38,45.675613
39,49.666710
40,45.874256
41,45.811935
42,49.878944
43,46.072941
44,46.025509
45,50.110073
46,46.240360
47,46.123257
48,50.229088
49,46.372768
50,46.260307
51,50.328659
52,46.453014
53,46.380299
54,50.435394
55,46.495617
56,46.443531
57,50.513992
58,46.540550
59,46.492573
60,50.553482
61,46.647797
62,46.578499
63,50.624496
64,46.749287
65,46.694050
66,50.701969
67,46.806965
68,46.741455
69,50.726818
70,46.871418
71,46.813137
72,50.780910
73,46.872475
74,46.880207
75,50.850803
76,46.950783
77,46.939342
78,50.895920
79,47.020134
80,46.969288
81,50.940285
82,47.036110
83,47.020962
84,50.960815
85,47.079025
86,47.059544
87,50.985294
88,47.125370
89,47.089386
90,51.034187
91,47.166943
92,47.163891
93,51.081676
94,47.225197
95,47.197353
96,51.134903
97,47.265106
98,47.220592
99,51.193268
100,47.200264
101,48.562035
102,47.232819
103,51.078728
104,47.309372
105,47.292900
106,51.098316
107,47.360359
108,47.331955
109,51.015453
110,47.378910
111,47.358299
112,50.944439
113,47.395702
114,47.393894
115,50.810650
116,47.410374
117,47.407326
118,50.548416
119,47.437099
120,47.433674
121,49.907383
122,47.401630
123,47.394035
124,47.746830
average,48.911800
