frame,value
0,76.143692
1,73.268188
2,72.870277
3,74.025253
4,72.853294
5,72.885651
6,74.489807
7,71.385597
8,70.389091
9,73.485168
10,66.061501
11,63.310284
12,65.057480
13,59.308910
14,58.621960
15,62.711075
16,56.789913
17,56.113880
18,60.637486
19,54.743881
20,54.212147
21,59.381027
22,53.571533
23,53.263641
24,58.804585
25,52.986870
26,52.903812
27,58.534092
28,52.732887
29,52.709335
30,58.509216
31,52.756298
32,52.696102
33,58.613014
34,52.884029
35,53.026543
36,58.853683
37,53.214001
38,53.337715
39,59.094067
40,53.508610
41,53.615910
42,59.329025
43,53.853153
44,53.755920
45,59.483295
46,54.075562
47,54.027973
48,59.639584
49,54.210850
50,54.083752
51,59.826283
52,54.325993
53,54.214451
54,59.944080
55,54.336472
56,54.380325
57,60.087368
58,54.474121
59,54.515381
60,60.150768
61,54.510189
62,54.591801
63,60.184452
64,54.599102
65,54.561375
66,60.304489
67,54.632252
68,54.671547
69,60.360096
70,54.621708
71,54.704708
72,60.387207
73,54.674469
74,54.867256
75,60.514778
76,54.820271
77,54.944252
78,60.572018
79,54.940865
80,55.041496
81,60.683361
82,54.956146
83,55.103806
84,60.728226
85,55.083645
86,55.158878
87,60.777496
88,55.127686
89,55.282608
90,60.823166
91,55.259727
92,55.408524
93,60.909420
94,55.383915
95,55.472385
96,61.023499
97,55.441345
98,55.542843
99,61.188629
100,55.321472
101,57.674030
102,55.444084
103,60.982693
104,55.580452
105,55.704014
106,61.082912
107,55.722485
108,55.816608
109,61.019981
110,55.726147
111,55.899776
112,60.970921
113,55.792702
114,55.901634
115,60.864899
116,55.849403
117,56.002316
118,60.638420
119,55.963440
120,56.125202
121,59.978458
122,55.991310
123,56.248684
124,57.012852
average,58.113991
