frame,value
0,0.999659
1,0.999174
2,0.999187
3,0.999620
4,0.999151
5,0.999143
6,0.999602
7,0.998507
8,0.997601
9,0.998151
10,0.996103
11,0.995008
12,0.995430
13,0.992553
14,0.990129
15,0.989036
16,0.987665
17,0.986915
18,0.987582
19,0.987305
20,0.987405
21,0.988760
22,0.988309
23,0.988598
24,0.989923
25,0.989332
26,0.989330
27,0.990760
28,0.989877
29,0.989973
30,0.991337
31,0.990493
32,0.990453
33,0.991834
34,0.990944
35,0.990855
36,0.992255
37,0.991427
38,0.991320
39,0.992914
40,0.991982
41,0.992042
42,0.993434
43,0.992468
44,0.992538
45,0.993930
46,0.992871
47,0.992879
48,0.994339
49,0.993212
50,0.993230
51,0.994694
52,0.993519
53,0.993553
54,0.994967
55,0.993832
56,0.993841
57,0.995210
58,0.994089
59,0.994041
60,0.995403
61,0.994271
62,0.994268
63,0.995589
64,0.994478
65,0.994468
66,0.995751
67,0.994612
68,0.994645
69,0.995891
70,0.994790
71,0.994812
72,0.996029
73,0.994940
74,0.994918
75,0.996150
76,0.995041
77,0.995045
78,0.996258
79,0.995191
80,0.995139
81,0.996349
82,0.995287
83,0.995286
84,0.996431
85,0.995357
86,0.995366
87,0.996505
88,0.995419
89,0.995436
90,0.996575
91,0.995491
92,0.995511
93,0.996640
94,0.995535
95,0.995543
96,0.996710
97,0.995620
98,0.995627
99,0.996756
100,0.995657
101,0.995769
102,0.995626
103,0.996768
104,0.995728
105,0.995741
106,0.996820
107,0.995761
108,0.995787
109,0.996818
110,0.995818
111,0.995792
112,0.996809
113,0.995809
114,0.995800
115,0.996778
116,0.995795
117,0.995748
118,0.996670
119,0.995721
120,0.995643
121,0.996420
122,0.995483
123,0.995245
124,0.995330
average,0.994342
