frame,value
0,0.997107
1,0.994270
2,0.994142
3,0.995725
4,0.994158
5,0.994355
6,0.995998
7,0.991808
8,0.988531
9,0.995634
10,0.981668
11,0.979826
12,0.994666
13,0.975454
14,0.973430
15,0.992432
16,0.969319
17,0.967253
18,0.988908
19,0.963224
20,0.961575
21,0.985323
22,0.958080
23,0.956423
24,0.982338
25,0.953106
26,0.952245
27,0.980082
28,0.950110
29,0.949513
30,0.978700
31,0.947822
32,0.947351
33,0.977803
34,0.946865
35,0.947013
36,0.977494
37,0.946677
38,0.946511
39,0.977425
40,0.946399
41,0.946399
42,0.977186
43,0.946263
44,0.946309
45,0.977313
46,0.946150
47,0.945926
48,0.977414
49,0.946291
50,0.946105
51,0.977624
52,0.946628
53,0.946524
54,0.977772
55,0.946959
56,0.946815
57,0.977939
58,0.947082
59,0.947314
60,0.977937
61,0.947828
62,0.947711
63,0.978016
64,0.947965
65,0.948460
66,0.978283
67,0.948548
68,0.948679
69,0.978355
70,0.949025
71,0.949132
72,0.978603
73,0.949683
74,0.949716
75,0.978872
76,0.949835
77,0.950122
78,0.979005
79,0.950307
80,0.950717
81,0.979107
82,0.950648
83,0.951079
84,0.979174
85,0.950967
86,0.951219
87,0.979227
88,0.951149
89,0.951757
90,0.979281
91,0.951596
92,0.952005
93,0.979494
94,0.951988
95,0.952299
96,0.979647
97,0.952250
98,0.952791
99,0.979962
100,0.952827
101,0.961767
102,0.952928
103,0.979034
104,0.952747
105,0.953630
106,0.978892
107,0.953066
108,0.953330
109,0.978511
110,0.953048
111,0.953550
112,0.977689
113,0.952954
114,0.953260
115,0.976684
116,0.952944
117,0.953102
118,0.974459
119,0.952591
120,0.952737
121,0.969858
122,0.951949
123,0.951479
124,0.954125
average,0.963811
