frame,value
0,64.799980
1,61.774342
2,61.628571
3,62.827507
4,61.649227
5,61.775127
6,63.141888
7,60.961842
8,60.233116
9,63.126640
10,58.806309
11,58.373051
12,63.008331
13,57.475609
14,57.249126
15,62.711853
16,56.532326
17,56.305042
18,62.109978
19,55.782700
20,55.575756
21,61.428226
22,55.143642
23,55.019985
24,60.732201
25,54.669991
26,54.549694
27,60.020939
28,54.261402
29,54.195812
30,59.536434
31,53.932846
32,53.885582
33,59.065777
34,53.680275
35,53.649132
36,58.807003
37,53.508347
38,53.504101
39,58.635162
40,53.381184
41,53.379391
42,58.417969
43,53.258503
44,53.258987
45,58.347168
46,53.198334
47,53.220829
48,58.278297
49,53.151379
50,53.160881
51,58.257404
52,53.108318
53,53.128941
54,58.232819
55,53.078960
56,53.107018
57,58.194092
58,53.059666
59,53.086796
60,58.165577
61,53.021824
62,53.066822
63,58.142914
64,53.018715
65,53.037743
66,58.180683
67,53.007656
68,53.049969
69,58.133789
70,53.030220
71,53.066200
72,58.176743
73,53.040012
74,53.083454
75,58.223213
76,53.048542
77,53.096371
78,58.247856
79,53.072781
80,53.129723
81,58.303848
82,53.088196
83,53.142982
84,58.268547
85,53.119625
86,53.153877
87,58.261681
88,53.144642
89,53.200211
90,58.241150
91,53.176208
92,53.224937
93,58.310394
94,53.208199
95,53.245575
96,58.328819
97,53.236408
98,53.265755
99,58.392319
100,53.244171
101,54.603310
102,53.271915
103,58.121891
104,53.269505
105,53.322376
106,58.095123
107,53.306713
108,53.345371
109,57.958534
110,53.321529
111,53.377296
112,57.761181
113,53.340603
114,53.368633
115,57.517921
116,53.360550
117,53.403931
118,57.049442
119,53.387962
120,53.423279
121,56.068470
122,53.397449
123,53.429249
124,53.612434
average,55.912754
