frame,value
0,0.999953
1,0.999947
2,0.999948
3,0.999945
4,0.999944
5,0.999948
6,0.999653
7,0.998974
8,0.998630
9,0.998234
10,0.997776
11,0.997388
12,0.996666
13,0.995524
14,0.994266
15,0.992884
16,0.991203
17,0.989165
18,0.987398
19,0.985444
20,0.984104
21,0.982616
22,0.981569
23,0.980964
24,0.980849
25,0.980911
26,0.980984
27,0.981193
28,0.981564
29,0.981803
30,0.982158
31,0.982775
32,0.983430
33,0.984010
34,0.984458
35,0.984824
36,0.984628
37,0.984844
38,0.985075
39,0.985349
40,0.985506
41,0.985735
42,0.985872
43,0.986137
44,0.986447
45,0.986580
46,0.986685
47,0.986923
48,0.987040
49,0.987150
50,0.987123
51,0.987253
52,0.987349
53,0.987512
54,0.987612
55,0.987677
56,0.987561
57,0.987647
58,0.987603
59,0.987696
60,0.987774
61,0.987842
62,0.987980
63,0.988048
64,0.988139
65,0.988128
66,0.988170
67,0.988215
68,0.988281
69,0.988293
70,0.988390
71,0.988288
72,0.988361
73,0.988471
74,0.988426
75,0.988470
76,0.988422
77,0.988494
78,0.988579
79,0.988586
80,0.988719
81,0.988768
82,0.988738
83,0.988744
84,0.988778
85,0.988730
86,0.988698
87,0.988785
88,0.988761
89,0.988854
90,0.988876
91,0.988971
92,0.988994
93,0.989047
94,0.989040
95,0.988983
96,0.989004
97,0.989154
98,0.989109
99,0.989049
100,0.989127
101,0.989146
102,0.989150
103,0.989081
104,0.989194
105,0.989153
106,0.989226
107,0.989263
108,0.989290
109,0.989253
110,0.989311
111,0.989184
112,0.989232
113,0.989235
114,0.989214
115,0.989210
116,0.989342
117,0.989244
118,0.989310
119,0.989391
120,0.989383
121,0.989489
122,0.989502
123,0.989536
124,0.989264
average,0.988760
