frame,value
0,63.704834
1,63.248417
2,63.338497
3,63.121780
4,63.016006
5,63.351971
6,59.909557
7,53.392128
8,52.638172
9,52.143250
10,51.612881
11,51.302746
12,50.720886
13,50.157200
14,49.571171
15,48.992249
16,48.487335
17,47.992950
18,47.624126
19,47.206879
20,46.879829
21,46.553047
22,46.193363
23,45.962395
24,45.705181
25,45.464958
26,45.262966
27,45.076599
28,44.932308
29,44.800167
30,44.597122
31,44.545349
32,44.481770
33,44.419846
34,44.366875
35,44.313717
36,44.229843
37,44.242573
38,44.232811
39,44.252342
40,44.220638
41,44.232426
42,44.198441
43,44.182217
44,44.208977
45,44.196487
46,44.186459
47,44.144241
48,44.126526
49,44.145401
50,44.157051
51,44.150486
52,44.152397
53,44.172440
54,44.165218
55,44.145966
56,44.146885
57,44.139603
58,44.162308
59,44.167229
60,44.187260
61,44.259441
62,44.281078
63,44.311489
64,44.352917
65,44.314240
66,44.352554
67,44.384460
68,44.411659
69,44.409901
70,44.416992
71,44.433220
72,44.421074
73,44.442852
74,44.418556
75,44.416492
76,44.415310
77,44.453384
78,44.451565
79,44.465324
80,44.488564
81,44.531223
82,44.492462
83,44.512589
84,44.468922
85,44.488220
86,44.490913
87,44.497833
88,44.557247
89,44.598198
90,44.629707
91,44.635693
92,44.651989
93,44.650608
94,44.650017
95,44.680607
96,44.678913
97,44.679790
98,44.700851
99,44.698025
100,44.701183
101,44.699352
102,44.704800
103,44.683651
104,44.729137
105,44.774902
106,44.735558
107,44.725067
108,44.698978
109,44.718456
110,44.721405
111,44.718945
112,44.750023
113,44.798664
114,44.810196
115,44.843086
116,44.855053
117,44.843296
118,44.893944
119,44.890984
120,44.906628
121,44.919060
122,44.911587
123,44.872475
124,44.610104
average,46.194763
