frame,value
0,0.999670
1,0.999634
2,0.999639
3,0.999620
4,0.999608
5,0.999636
6,0.999372
7,0.998610
8,0.998112
9,0.997816
10,0.997569
11,0.997394
12,0.997036
13,0.996700
14,0.996464
15,0.996285
16,0.996113
17,0.995927
18,0.995786
19,0.995625
20,0.995445
21,0.995314
22,0.995180
23,0.995049
24,0.994882
25,0.994767
26,0.994693
27,0.994598
28,0.994508
29,0.994425
30,0.994299
31,0.994256
32,0.994222
33,0.994182
34,0.994139
35,0.994099
36,0.994067
37,0.994033
38,0.993997
39,0.993989
40,0.993949
41,0.993938
42,0.993918
43,0.993887
44,0.993857
45,0.993855
46,0.993813
47,0.993799
48,0.993755
49,0.993749
50,0.993720
51,0.993713
52,0.993692
53,0.993692
54,0.993691
55,0.993693
56,0.993637
57,0.993634
58,0.993601
59,0.993583
60,0.993584
61,0.993592
62,0.993584
63,0.993590
64,0.993623
65,0.993584
66,0.993590
67,0.993568
68,0.993599
69,0.993570
70,0.993551
71,0.993548
72,0.993561
73,0.993546
74,0.993525
75,0.993523
76,0.993520
77,0.993501
78,0.993506
79,0.993504
80,0.993538
81,0.993530
82,0.993492
83,0.993496
84,0.993494
85,0.993514
86,0.993479
87,0.993484
88,0.993494
89,0.993499
90,0.993506
91,0.993503
92,0.993527
93,0.993513
94,0.993508
95,0.993502
96,0.993506
97,0.993511
98,0.993513
99,0.993508
100,0.993526
101,0.993506
102,0.993500
103,0.993496
104,0.993488
105,0.993515
106,0.993504
107,0.993506
108,0.993484
109,0.993470
110,0.993464
111,0.993437
112,0.993453
113,0.993479
114,0.993469
115,0.993468
116,0.993501
117,0.993510
118,0.993511
119,0.993536
120,0.993566
121,0.993587
122,0.993588
123,0.993608
124,0.993490
average,0.994407
