frame,value
0,0.993797
1,0.993173
2,0.993167
3,0.992871
4,0.992639
5,0.993060
6,0.991686
7,0.985508
8,0.979520
9,0.975700
10,0.972836
11,0.970675
12,0.966655
13,0.962102
14,0.959059
15,0.955767
16,0.953408
17,0.950960
18,0.948954
19,0.947294
20,0.945524
21,0.943925
22,0.942415
23,0.941321
24,0.940154
25,0.939120
26,0.938119
27,0.937055
28,0.936191
29,0.935306
30,0.935098
31,0.934845
32,0.934930
33,0.934727
34,0.934404
35,0.933854
36,0.933125
37,0.932750
38,0.932345
39,0.932397
40,0.931879
41,0.932051
42,0.931764
43,0.931732
44,0.931551
45,0.931890
46,0.932086
47,0.932219
48,0.932284
49,0.931895
50,0.931702
51,0.931473
52,0.931331
53,0.931350
54,0.931559
55,0.931378
56,0.931320
57,0.930951
58,0.931014
59,0.930525
60,0.930309
61,0.930220
62,0.930031
63,0.929670
64,0.930003
65,0.929434
66,0.929443
67,0.928858
68,0.928931
69,0.929054
70,0.929193
71,0.929301
72,0.929482
73,0.929449
74,0.929609
75,0.929772
76,0.930044
77,0.929904
78,0.929979
79,0.929851
80,0.930004
81,0.930274
82,0.930625
83,0.930421
84,0.930575
85,0.930485
86,0.930127
87,0.930185
88,0.929765
89,0.929827
90,0.929779
91,0.929681
92,0.929757
93,0.929915
94,0.929893
95,0.929698
96,0.929759
97,0.929906
98,0.929779
99,0.929705
100,0.929946
101,0.929919
102,0.929979
103,0.929565
104,0.929576
105,0.929721
106,0.929864
107,0.930020
108,0.930447
109,0.930351
110,0.930392
111,0.929941
112,0.929726
113,0.929297
114,0.929215
115,0.928944
116,0.929122
117,0.928653
118,0.929086
119,0.929057
120,0.928886
121,0.929183
122,0.929502
123,0.929935
124,0.929247
average,0.938245
