frame,value
0,54.461899
1,54.438202
2,54.449230
3,54.433163
4,54.509232
5,54.514725
6,48.401943
7,40.285667
8,32.768284
9,31.710999
10,31.626926
11,31.647152
12,31.556376
13,31.434696
14,31.495642
15,31.549389
16,31.633188
17,31.746403
18,31.861904
19,31.975101
20,32.111992
21,32.234165
22,32.315598
23,32.459610
24,32.564606
25,32.666367
26,32.722092
27,32.788570
28,32.855648
29,32.901615
30,32.941547
31,32.984325
32,32.999893
33,33.027889
34,33.028435
35,33.077000
36,33.128819
37,33.163967
38,33.200466
39,33.231781
40,33.233898
41,33.266129
42,33.267849
43,33.296574
44,33.293056
45,33.305264
46,33.298557
47,33.329556
48,33.333065
49,33.402950
50,33.464703
51,33.517406
52,33.598942
53,33.640717
54,33.682621
55,33.711605
56,33.703949
57,33.767513
58,33.783615
59,33.850815
60,33.856720
61,33.911507
62,33.972733
63,33.994461
64,34.051987
65,34.085442
66,34.128784
67,34.142372
68,34.207283
69,34.204807
70,34.217773
71,34.221565
72,34.217175
73,34.241573
74,34.234642
75,34.225025
76,34.226074
77,34.253078
78,34.255665
79,34.267342
80,34.270588
81,34.290962
82,34.264694
83,34.246925
84,34.234745
85,34.240757
86,34.249214
87,34.268879
88,34.283554
89,34.306576
90,34.333473
91,34.362774
92,34.378426
93,34.388386
94,34.394573
95,34.427322
96,34.444965
97,34.451633
98,34.450584
99,34.451393
100,34.444717
101,34.445171
102,34.423855
103,34.425915
104,34.426487
105,34.445755
106,34.436386
107,34.444134
108,34.428612
109,34.428333
110,34.416210
111,34.453560
112,34.433243
113,34.447681
114,34.466606
115,34.497108
116,34.542198
117,34.550240
118,34.598400
119,34.604393
120,34.627731
121,34.655670
122,34.645504
123,34.607491
124,34.407887
average,34.836914
