frame,value
0,66.007011
1,65.960625
2,65.802597
3,65.739105
4,65.782791
5,65.763336
6,55.523605
7,43.633183
8,34.135529
9,32.843727
10,32.756176
11,32.767536
12,32.639084
13,32.484177
14,32.556553
15,32.625351
16,32.731331
17,32.875092
18,33.015862
19,33.148727
20,33.310047
21,33.452625
22,33.544861
23,33.701584
24,33.817055
25,33.926304
26,33.985851
27,34.060017
28,34.144131
29,34.198898
30,34.245174
31,34.305809
32,34.326279
33,34.363884
34,34.363750
35,34.416782
36,34.462650
37,34.495876
38,34.535751
39,34.573467
40,34.574768
41,34.611603
42,34.614429
43,34.651237
44,34.647507
45,34.670174
46,34.671585
47,34.721363
48,34.732620
49,34.814217
50,34.888210
51,34.948494
52,35.048317
53,35.101910
54,35.159386
55,35.200111
56,35.195374
57,35.268192
58,35.282040
59,35.359013
60,35.360615
61,35.420700
62,35.493320
63,35.516872
64,35.581818
65,35.623577
66,35.673428
67,35.683075
68,35.757832
69,35.759995
70,35.776371
71,35.789719
72,35.790268
73,35.823376
74,35.821091
75,35.818161
76,35.829571
77,35.856838
78,35.858360
79,35.869972
80,35.878063
81,35.912060
82,35.895348
83,35.883514
84,35.876186
85,35.877064
86,35.882519
87,35.899590
88,35.908497
89,35.930649
90,35.956196
91,35.989868
92,36.010033
93,36.022350
94,36.033340
95,36.071892
96,36.090691
97,36.097855
98,36.086601
99,36.090458
100,36.086815
101,36.093506
102,36.071487
103,36.075829
104,36.067242
105,36.087624
106,36.088150
107,36.103249
108,36.088249
109,36.088253
110,36.076611
111,36.115604
112,36.086254
113,36.097717
114,36.113697
115,36.144348
116,36.198200
117,36.199581
118,36.251495
119,36.254303
120,36.280800
121,36.316040
122,36.319965
123,36.305058
124,36.109665
average,36.851212
